product_id,brand,listing_price,sale_price,discount,revenue,rating,reviews
G27341,Adidas,75.99,37.99,0.5,1641.17,3.3,24.0
CM0081,Adidas,9.99,5.99,0.4,398.93,2.6,37.0
B44832,Adidas,69.99,34.99,0.5,2204.37,4.1,35.0
D98205,Adidas,79.99,39.99,0.5,5182.7,3.5,72.0
B75586,Adidas,47.99,19.2,0.6,1555.2,1.0,45.0
CG4051,Adidas,47.99,23.99,0.5,86.36,4.4,2.0
CM0080,Adidas,9.99,5.99,0.4,75.47,2.8,7.0
B75990,Adidas,55.99,27.99,0.5,806.11,4.5,16.0
EE5761,Adidas,65.99,39.59,0.4,2779.22,4.0,39.0
EE4553,Adidas,75.99,45.59,0.4,2954.23,2.7,36.0
EF9315,Adidas,65.99,39.59,0.4,2494.17,4.2,35.0
F35281,Adidas,59.99,29.99,0.5,5236.25,2.6,97.0
EF9220,Adidas,75.99,45.59,0.4,5087.84,3.1,62.0
EG0000,Adidas,79.99,39.99,0.5,1151.71,3.2,16.0
B44889,Adidas,59.99,29.99,0.5,3724.76,3.1,69.0
CL7417,Adidas,45.99,22.99,0.5,662.11,1.0,16.0
CL7408,Adidas,39.99,19.99,0.5,287.86,3.1,8.0
B43601,Adidas,32.99,16.49,0.5,1840.28,2.7,62.0
EE8245,Adidas,42.99,21.49,0.5,2591.69,3.8,67.0
EE8042,Adidas,55.99,27.99,0.5,1511.46,5.0,30.0
CL7429,Adidas,42.99,21.49,0.5,1663.33,3.7,43.0
CL7370,Adidas,37.99,22.79,0.4,533.29,3.9,13.0
EE9946,Adidas,65.99,32.99,0.5,4809.94,4.4,81.0
CK9741,Adidas,37.99,18.99,0.5,2392.74,3.6,70.0
CL7363,Adidas,32.99,19.79,0.4,1638.61,2.7,46.0
CL7372,Adidas,37.99,22.79,0.4,2584.39,3.2,63.0
CL7430,Adidas,42.99,21.49,0.5,3674.79,4.9,95.0
F34485,Adidas,55.99,33.59,0.4,906.93,5.0,15.0
CL7365,Adidas,32.99,19.79,0.4,1211.15,3.6,34.0
CL7373,Adidas,32.99,19.79,0.4,3063.49,2.2,86.0
CL7364,Adidas,32.99,19.79,0.4,106.87,3.9,3.0
CL7374,Adidas,32.99,19.79,0.4,2386.67,3.4,67.0
EE8167,Adidas,55.99,33.59,0.4,302.31,3.3,5.0
CL7410,Adidas,39.99,23.99,0.4,3670.47,4.8,85.0
CL7401,Adidas,55.99,33.59,0.4,241.85,3.6,4.0
EE8219,Adidas,45.99,27.59,0.4,1738.17,4.1,35.0
CL7402,Adidas,55.99,33.59,0.4,786.01,3.6,13.0
EE9929,Adidas,85.99,51.59,0.4,1857.24,2.5,20.0
EE8221,Adidas,65.99,39.59,0.4,2921.74,2.7,41.0
EE8224,Adidas,65.99,39.59,0.4,5130.86,2.5,72.0
EE9941,Adidas,65.99,39.59,0.4,2280.38,1.5,32.0
EE8522,Adidas,75.99,45.59,0.4,6893.21,2.6,84.0
EE9932,Adidas,55.99,33.59,0.4,4534.65,5.0,75.0
EE8375,Adidas,69.99,41.99,0.4,302.33,4.5,4.0
EE9798,Adidas,55.99,33.59,0.4,2902.18,3.9,48.0
EE8502,Adidas,49.99,29.99,0.4,647.78,3.2,12.0
EF0450,Adidas,49.99,29.99,0.4,4480.51,3.9,83.0
CL7375,Adidas,32.99,19.79,0.4,391.84,2.0,11.0
EF0446,Adidas,49.99,29.99,0.4,2267.24,1.0,42.0
EF0529,Adidas,69.99,41.99,0.4,5215.16,3.3,69.0
EE9940,Adidas,65.99,39.59,0.4,2351.65,4.1,33.0
EE4954,Adidas,119.99,71.99,0.4,4535.37,4.4,35.0
CL4156,Adidas,26.99,13.49,0.5,2161.1,3.5,89.0
EE4893,Adidas,79.99,47.99,0.4,4059.95,4.0,47.0
EE9937,Adidas,55.99,33.59,0.4,5683.43,4.8,94.0
G27649,Adidas,79.99,47.99,0.4,3023.37,4.5,35.0
EE9797,Adidas,55.99,33.59,0.4,2358.02,4.7,39.0
CI9914,Adidas,49.99,20.0,0.6,3528.0,3.8,98.0
EE8252,Adidas,42.99,21.49,0.5,232.09,1.5,6.0
CK9664,Adidas,59.99,29.99,0.5,917.69,0.0,17.0
EE8501,Adidas,49.99,29.99,0.4,4156.61,4.8,77.0
CL7602,Adidas,47.99,23.99,0.5,734.09,4.4,17.0
CL7494,Adidas,45.99,22.99,0.5,1158.7,3.0,28.0
EE7923,Adidas,59.99,35.99,0.4,5700.82,3.9,88.0
EE5566,Adidas,79.99,47.99,0.4,1986.79,4.0,23.0
CI1821,Adidas,47.99,23.99,0.5,345.46,4.3,8.0
CJ0082,Adidas,45.99,22.99,0.5,2648.45,4.3,64.0
CJ8062,Adidas,59.99,29.99,0.5,2807.06,3.7,52.0
EE6038,Adidas,75.99,45.59,0.4,5744.34,4.3,70.0
CM0068,Adidas,12.99,7.79,0.4,827.3,1.5,59.0
CK9830,Adidas,27.99,13.99,0.5,352.55,2.8,14.0
CJ0080,Adidas,45.99,22.99,0.5,82.76,5.0,2.0
